Chinese,English,Math,Pass
81,19,51,Fail
14,80,93,Pass
3,20,43,Fail
94,87,13,Pass
35,54,31,Fail
31,76,24,Fail
28,8,24,Fail
17,49,68,Fail
94,48,57,Fail
13,76,17,Fail
86,59,54,Fail
94,67,23,Pass
69,32,35,Fail
11,70,59,Fail
75,1,31,Fail
54,87,9,Fail
4,92,56,Fail
3,14,70,Fail
11,87,12,Fail
27,68,6,Fail
29,96,83,Pass
64,34,69,Pass
77,98,1,Pass
3,82,11,Fail
71,43,96,Pass
25,14,30,Fail
91,37,21,Fail
83,55,52,Fail
89,20,62,Pass
69,58,61,Pass
53,0,27,Fail
28,92,51,Fail
57,92,7,Fail
75,33,21,Fail
35,64,48,Fail
0,97,0,Fail
97,22,49,Fail
20,64,33,Fail
89,13,100,Pass
54,80,100,Pass
43,38,58,Fail
35,81,36,Fail
19,64,54,Fail
27,77,89,Pass
97,25,93,Pass
43,19,100,Fail
13,47,71,Fail
11,97,84,Pass
48,20,91,Fail
12,69,62,Pass
45,99,19,Fail
44,67,24,Fail
77,0,37,Fail
33,76,27,Fail
5,41,7,Fail
93,62,74,Pass
58,2,94,Fail
68,14,69,Pass
15,46,7,Fail
48,39,95,Fail
10,30,40,Fail
70,7,7,Fail
37,30,6,Fail
80,72,74,Pass
79,10,61,Pass
46,10,64,Fail
73,93,67,Pass
24,62,20,Fail
90,8,7,Fail
8,97,65,Pass
5,68,10,Fail
84,98,23,Pass
29,16,8,Fail
98,16,76,Pass
37,84,8,Fail
10,60,86,Pass
29,70,30,Fail
12,21,51,Fail
48,33,15,Fail
35,67,72,Pass
58,77,31,Fail
81,54,74,Pass
46,27,76,Fail
20,69,5,Fail
47,96,79,Pass
45,93,10,Fail
26,88,53,Fail
85,25,84,Pass
34,91,74,Pass
89,39,72,Pass
87,51,66,Pass
82,85,40,Pass
9,83,33,Fail
77,47,26,Fail
81,56,85,Pass
21,66,91,Pass
68,57,40,Fail
93,15,30,Fail
31,31,33,Fail
20,28,50,Fail
59,8,16,Fail
48,43,85,Fail
34,2,82,Fail
81,75,38,Pass
88,70,58,Pass
71,29,40,Fail
28,75,96,Pass
87,28,9,Fail
41,0,1,Fail
98,9,58,Fail
99,90,79,Pass
7,80,72,Pass
29,7,12,Fail
4,29,9,Fail
40,8,68,Fail
51,4,27,Fail
34,42,64,Fail
8,9,33,Fail
27,65,16,Fail
72,30,44,Fail
91,35,8,Fail
40,85,31,Fail
27,62,47,Fail
83,27,36,Fail
63,69,20,Pass
50,16,56,Fail
82,92,69,Pass
58,73,90,Pass
18,73,38,Fail
33,60,78,Pass
17,31,83,Fail
31,100,67,Pass
95,60,1,Pass
71,52,85,Pass
68,24,70,Pass
33,12,38,Fail
95,12,84,Pass
74,84,13,Pass
54,55,17,Fail
74,45,33,Fail
51,54,14,Fail
46,52,13,Fail
28,59,95,Fail
17,93,70,Pass
65,6,19,Fail
63,86,34,Pass
11,83,36,Fail
96,82,77,Pass
6,12,26,Fail
14,7,91,Fail
